,Year,Round,Pick,Name,Team,Position,player_id,player_game_count,Grade,count,pickgrade,_merge,value
177,2010,6,195,antonio brown,Steelers,WR,5718.0,131.0,87.6,1,59.1,both,28.499999999999993
865,2014,1,13,aaron donald,Rams,DT,8648.0,94.0,93.1,1,68.8,both,24.299999999999997
1311,2016,2,47,michael thomas1,Saints,WR,10681.0,63.0,89.7,1,65.7,both,24.0
1424,2016,5,165,tyreek hill,Chiefs,WR,10799.0,59.0,84.2,1,60.9,both,23.300000000000004
114,2010,4,120,geno atkins,Bengals,DT,5643.0,153.0,83.7,1,60.5,both,23.200000000000003
1649,2017,5,182,aaron jones,Packers,RB,11937.0,38.0,82.1,1,58.9,both,23.199999999999996
40,2010,2,42,rob gronkowski,Patriots,TE,5567.0,115.0,88.5,1,65.8,both,22.700000000000003
1972,2019,3,76,terry mclaurin,Redskins,WR,48229.0,14.0,85.7,1,63.2,both,22.5
1568,2017,3,84,chris godwin,Buccaneers,WR,11839.0,46.0,84.1,1,61.7,both,22.39999999999999
1728,2018,2,35,nick chubb,Browns,RB,45783.0,32.0,87.6,1,65.4,both,22.19999999999999
1621,2017,5,146,george kittle,49ers,TE,11901.0,45.0,83.4,1,61.3,both,22.10000000000001
358,2011,5,154,richard sherman,Seahawks,DB,6306.0,132.0,82.0,1,59.9,both,22.1
836,2013,7,231,ty powell,Seahawks,DE,8014.0,13.0,80.8,1,58.8,both,22.0
93,2010,3,98,mike johnson,Falcons,G,5622.0,15.0,82.7,1,61.1,both,21.6
2014,2019,4,128,tony pollard,Cowboys,RB,27126.0,15.0,82.9,1,61.4,both,21.500000000000007
284,2011,3,70,justin houston,Chiefs,DE,6222.0,118.0,83.4,1,62.4,both,21.000000000000007
1772,2018,3,86,mark andrews,Ravens,TE,47436.0,31.0,83.0,1,62.1,both,20.9
1925,2019,1,24,josh jacobs,Raiders,RB,45953.0,13.0,87.1,1,66.2,both,20.89999999999999
706,2013,3,76,keenan allen,Chargers,WR,7857.0,86.0,83.8,1,63.2,both,20.599999999999994
